Rk,Player,Nationality,Position,Club,Age,Match Played,Starts,Minutes Played,Goals,Assist,Yellow Card,Red Card,2 Yellow Card,Penalty Kicks,Penalty Attempted,xG,xAG
124,Jesús Corona,MEX,FWDF,Sevilla,28,18,12,1157,2,4,2,0,0,0,0,1.6,3.1
125,Ángel Correa,ARG,FWMF,Atlético Madrid,26,36,21,1856,12,5,3,1,0,0,0,7.3,3.7
126,Thierry Correia,POR,DF,Valencia,22,19,18,1414,0,1,5,0,0,0,0,0.3,1.1
127,Hélder Costa,ANG,MFFW,Valencia,27,22,13,1118,0,1,3,0,0,0,0,0.3,1.8
128,Jaume Costa,ESP,DF,Mallorca,33,25,21,1828,0,4,5,1,0,0,0,0.8,2.4
129,Thibaut Courtois,BEL,GK,Real Madrid,29,36,36,3240,0,0,1,0,0,0,0,0,0
130,Philippe Coutinho,BRA,MFFW,Barcelona,29,12,5,503,2,0,1,0,0,1,1,3.1,0.3
131,Cristo,ESP,DF,Real Sociedad,21,1,0,17,0,0,0,0,0,0,0,0,0.1
132,Juan Cruz Armada,ESP,DF,Osasuna,29,23,22,1934,0,0,4,0,0,0,0,0.2,0
133,Marc Cucurella,ESP,MFDF,Getafe,23,1,0,23,0,0,0,0,0,0,0,0.2,0.1
134,Jorge Cuenca,ESP,DF,Getafe,21,32,31,2683,1,0,6,2,0,0,0,0.9,0.1
135,Matheus Cunha,BRA,FW,Atlético Madrid,22,29,8,1063,6,4,3,0,0,0,0,5.8,2.2
136,Arnaut Danjuma,NED,FW,Villarreal,24,23,17,1472,10,3,1,0,0,3,3,11.9,2.2
137,Sergi Darder,ESP,MF,Espanyol,27,36,36,3125,3,9,4,0,0,0,0,2.6,3.9
138,Rodrigo De Paul,ARG,MF,Atlético Madrid,27,36,24,2151,3,1,7,0,0,0,0,1.6,4.6
139,Thomas Delaney,DEN,MF,Sevilla,29,26,15,1549,2,1,4,1,1,0,0,1.2,0.8
140,Ousmane Dembélé,FRA,FW,Barcelona,24,21,15,1409,1,13,3,0,0,0,0,2.6,8.3
141,Yusuf Demir,AUT,FW,Barcelona,18,6,2,192,0,0,0,0,0,0,0,0.1,0
142,Sergiño Dest,USA,DFFW,Barcelona,20,21,17,1512,0,3,2,0,0,0,0,1.1,2.5
143,Boulaye Dia,SEN,FW,Villarreal,24,25,13,1269,5,5,3,0,0,0,0,5.4,2.4
144,Mouctar Diakhaby,GUI,DF,Valencia,24,29,21,1948,0,1,11,0,0,0,0,0.6,0.2
145,Javier Díaz,ESP,GK,Sevilla,24,1,1,90,0,0,0,0,0,0,0,0,0
146,Víctor Díaz,ESP,DF,Granada,33,22,18,1500,1,0,5,0,0,0,0,0.8,0.1
147,Landry Dimata,BEL,FWMF,Espanyol,23,17,4,541,0,0,0,0,0,0,0,1.6,0.3
148,Stole Dimitrievski,MKD,GK,Rayo Vallecano,27,31,30,2772,0,0,0,0,0,0,0,0,0
149,Matías Dituro,ARG,GK,Celta Vigo,34,38,38,3420,0,0,1,0,0,0,0,0,0.1
150,Djené,TOG,DF,Getafe,29,35,35,3115,0,1,11,1,0,0,0,0.1,0.4
151,Naïs Djouahra,FRA,FWMF,Real Sociedad,21,7,1,219,0,0,0,0,0,0,0,0.3,0.5
152,Marko Dmitrovic,SRB,GK,Sevilla,29,6,6,540,0,0,0,0,0,0,0,0,0
153,Jaume Doménech,ESP,GK,Valencia,30,4,3,343,0,0,1,0,0,0,0,0,0
154,Carlos Dominguez,ESP,DF,Celta Vigo,20,8,3,344,0,0,1,0,0,0,0,0.1,0
155,Mario Dominguez,ESP,FW,Valencia,17,2,0,25,0,0,0,0,0,0,0,0,0
156,John Donald,ESP,DF,Elche,20,2,2,180,0,0,0,0,0,0,0,0.5,0.1
157,Domingos Duarte,POR,DF,Granada,26,21,19,1687,1,0,7,1,0,0,0,0.9,0.5
